pl_name,red_chi2,sigma,mean_avg_err,fap,o-c_period,faplong,o-c_periodlong,pl_orbper,pl_orbpererr1,pl_tranmid,pl_tranmiderr1,pl_orbsmax,pl_orbsmaxerr1,pl_radj,pl_radjerr1,pl_orbincl,pl_orbinclerr1,pl_orbeccen,pl_orbeccenerr1,pl_orblper,pl_orblpererr1,Transits,Date,Archive,Unbinned Sigma,Binned Sigma,Transit Depth,Sensitivity,Binned Sensitivity,Observation Depth,Observation Sensitivity,Binned Observation Sensitivity,Total Cadences
55 Cnc e,19.236307334836255,75.19022136275596,2.511709769635396,0.6689137774724723,6.359222484980514,0.6686188578587978,6.3637572989960445,0.736545983680097,0.0,2457063.204781699,0.000436072785630111,0.01452875960648266,0.0007530796464451019,0.019454232850844886,0.00012353412600844867,79.82544582228823,0.2922685143891184,0.2742873477548243,0.020064178769697332,270.85261421705104,1.9680918376504013,34,24-Mar-2021 22:35:10,SPEARNET,0.00017208969549441778,0.00010988050084064959,0.00037846717581489233,2.1992436835195,3.4443524821910967,0.00038142701762478015,2.2164430968916027,3.471289398088308,6281
GJ 1132 b,8.539899152653048,27.703358454064823,3.483161064149349,0.999999992863264,14.166143356469462,0.9998821804467128,35.23026024390405,1.62892601127728,0.0,2457184.561035618,0.00048076591664224347,0.015586252899592562,0.0008294314470335416,0.045444216372010335,0.0005284434003012841,88.926374395907,0.3252919232785933,0.0,0.0,90.0,0.0,27,25-Mar-2021 21:16:39,SPEARNET,0.0018638633956941028,0.0003621068601264283,0.002065176801666092,1.1080086697539442,5.70322473577287,0.002369751357307215,1.271419012134588,6.5443426188607,3803
GJ 1252 b,4.808842523842666,26.66189766689867,6.337821435728746,0.9975350544422142,8.576840930438879,0.9973907861016604,8.580245172407896,0.518243889962698,0.0,2458668.1009739717,0.002502488781534532,0.008633573190004646,0.0004551691841277997,0.025331536439828176,0.00026995793151713787,84.68825832491669,0.4006392358332176,0.0,0.0,90.0,0.0,98,21-Mar-2021 13:43:59,SPEARNET,0.0011159942981052073,0.0003580520591246587,0.0006416867384023428,0.57499105460649,1.7921604472017134,0.0007231768358614278,0.6480112282735447,2.0197533219873143,18929
HD 191939 b,8.495925835866272,25.419921273939575,2.8342135306514025,0.966108993791881,46.71585411114683,0.8880581266223142,299.0313367582035,8.88032454615271,0.0,2458715.3550331118,0.0004611874212531378,0.08354266989169816,0.004281478993335653,0.03332583706765869,0.00011793442686941494,88.2667778063386,0.05992060852070613,0.0,0.0,90.0,0.0,23,27-Mar-2021 13:10:00,SPEARNET,0.00044974825814945773,9.436384847779939e-05,0.0011106114162601338,2.469406820673137,11.76945868757592,0.0012230100538177524,2.7193213795868196,12.960578373459251,12582
HD 213885 b,99.27204981820354,581.3852871732323,28.2888152132975,0.8888565920445767,21.909356381100416,3.254678782436481e-19,843.5273266573613,1.00819999202075,0.0,2458379.9749875967,0.0013527900126310234,0.017528655662820206,0.0009309005868202307,0.011816219061358798,0.00010706238025965405,79.76517655141582,0.19582387102939008,0.0,0.0,90.0,0.0,70,22-Mar-2021 06:26:51,SPEARNET,0.00029244168876936766,0.00013825346133766034,0.000139623032906019,0.4774388818966636,1.00990623710327,0.00015080416702917263,0.5156726035326086,1.090780408461958,7246
HIP 65 A b,74.91134136531012,495.81235080307664,2.629119278211694,0.8214107869533179,37.59946202818788,7.429272718706187e-51,117864.40600085635,0.9809771618881096,0.0,2458326.103698824,0.00031889925989525005,0.016447469883668738,0.0008241040809190202,0.2936115197969973,0.006580429031571672,75.99737382963892,0.08461649003783245,0.0,0.0,90.0,0.0,90,21-Mar-2021 00:46:49,SPEARNET,0.0009248283729177273,0.00010788916707269476,0.08620772455750253,93.2148354029484,799.0396709561818,0.006430271061676818,6.952934457871412,59.60071095315954,32588
KELT-9 b,23.392181283235413,83.78387050439896,0.485178011944146,0.017667990896680242,4.681021565424973,0.018012212827555548,4.683008393310288,1.4811161840018665,0.0,2457095.688611496,7.288523482529552e-05,0.03432498734956914,0.0017178273885245592,0.08063146284312547,3.2209791481087094e-05,85.02219075885206,0.16139285047873742,0.0,0.0,90.0,0.0,28,24-Mar-2021 14:58:15,SPEARNET,0.0004137161941718051,0.00013093747520273997,0.006501432800222324,15.714716735314585,49.65295680366286,0.0071878109410258295,17.373772267761233,54.89498655672429,11032
KELT-16 b,1.1177411530804229,0.3723302180686859,1.2549203395820612,0.9999401621860868,2.2295066715337684,0.8863436787886624,16.969687497334036,0.968993749847765,0.0,2457247.2478048145,0.001192836537020519,0.019519919720081217,0.0009895476430192482,0.0995442933443809,0.00024779792429907176,82.43624757675398,0.4318615983817168,0.0,0.0,90.0,0.0,20,27-Mar-2021 09:31:55,SPEARNET,0.0022238702057072227,0.0004975994918061476,0.009909066337432156,4.45577548186133,19.913738861478738,0.01128853983940481,5.076078545606888,22.685995515048763,8704
Kepler-10 b,0.9739018946430956,-0.09937862444555716,8.249040486545727,0.999979218285688,1.8278897706377844,0.9999817374782916,7.252097779390639,0.8375003242005831,0.0,2454964.5796820414,0.004762707529764274,0.013904660662899837,0.0008271762781394233,0.010707632151436457,0.0003008175568467367,84.81070671332621,0.7573903043167199,0.0,0.0,90.0,0.0,29,26-Mar-2021 04:23:35,SPEARNET,0.0012172250818111153,0.00022054042223794903,0.00011465338629047571,0.09419242833862937,0.5198747020025746,0.00013484196654056646,0.11077816958876206,0.6114161076334595,11742
Kepler-42 c,1.2631370946920852,1.8975085747778728,10.8658969089336,0.9962402751316451,3.2210177411710115,0.9962208467475248,3.2233805563091935,0.453276508737489,0.0,2454966.877780388,0.006126193935638572,0.0058569564231726896,0.00030913020935865294,0.03911915892929555,0.0022567459933131376,82.14402461041684,0.10866775105406304,0.0,0.0,90.0,0.0,104,20-Mar-2021 07:58:04,SPEARNET,0.005104680788985693,0.001383495293415132,0.0015303085953354838,0.2997853653527977,1.1061176735613938,0.00025970245913675694,0.05087535731854453,0.18771473988587725,11563
